OBJECTID,year,origin,enplanements,passengers,departures,arrivals,freight,mail
503,2023,WTL,3161,3820,2115,2115,6795,13689
504,2023,OLF,3153,3153,676,678,0,0
505,2023,ELD,3144,3144,772,754,0,0
506,2023,GAM,3142,4616,1240,1241,38361,13092
507,2023,FNL,3098,3926,53,58,50,0
508,2023,AIN,3095,4039,1429,1432,32804,5093
509,2023,LUP,3085,3085,1292,1299,0,0
510,2023,MOU,3048,4268,1455,1454,11165,2698
511,2023,KKI,3033,3505,1963,1967,6207,9452
512,2023,KVL,3003,4416,1231,1231,43408,3738
513,2023,AKP,3000,3398,1025,1040,269880,5035
514,2023,CDB,2988,7775,1520,1520,516793,335447
515,2023,HVR,2964,2964,707,704,0,0
516,2023,NYS,2961,3088,949,870,0,0
517,2023,CYF,2913,4284,1711,1713,20716,12596
518,2023,TOG,2904,3303,1273,1273,33341,13503
519,2023,GGW,2884,2884,666,663,6,0
520,2023,NUP,2845,3851,2071,2072,4222,5011
521,2023,EEK,2812,4359,1991,1992,9784,14941
522,2023,KLN,2760,2797,1157,1166,6940,4405
523,2023,IAN,2759,4771,1194,1194,19097,10109
524,2023,KKH,2725,3799,1949,1951,11529,12033
525,2023,KWT,2614,2931,1617,1611,2992,8555
526,2023,BKG,2588,2588,29,28,0,0
527,2023,BMG,2587,2587,43,43,18864,0
528,2023,SDP,2576,6996,993,1001,798964,42954
529,2023,MCG,2570,2658,778,770,175283,113121
530,2023,KOT,2557,3838,2629,2630,8711,7354
531,2023,MLL,2514,3741,2114,2115,25342,6295
532,2023,AUK,2488,3759,2629,2630,3368,7079
533,2023,CDR,2424,2424,488,485,0,0
534,2023,NUL,2408,3396,838,846,9299,5237
535,2023,ATT,2403,3628,2113,2110,8461,5690
536,2023,AKI,2367,2503,1448,1447,5237,6908
537,2023,NUI,2355,3622,1167,1189,20120,3602
538,2023,KTS,2351,3646,1106,1106,14219,7682
539,2023,MCK,2326,2326,795,828,50112,0
540,2023,AGN,2256,2340,814,816,12992,7383
541,2023,TLT,2242,2311,1350,1354,4606,4575
542,2023,KWK,2241,3111,1540,1539,18479,15416
543,2023,7AK,2236,2243,1575,1585,140396,5968
544,2023,LAF,2234,2234,91,93,17686,0
545,2023,BIF,2209,2261,42,35,129085,0
546,2023,OLH,2196,2213,926,926,4844,3891
547,2023,JBR,2188,2188,638,633,0,0
548,2023,RSH,2183,2326,1461,1463,4225,5833
549,2023,GUP,2179,2179,650,406,107304,0
550,2023,GDV,2177,2179,691,692,0,0
551,2023,ADK,2149,2150,111,113,32428,6659
552,2023,FRG,2143,2143,211,220,0,0
553,2023,RIV,2129,2129,386,393,22318049,0
554,2023,HNM,2085,2085,709,713,0,0
555,2023,KEB,2065,2588,1620,1619,940,0
556,2023,WBB,2049,3841,1260,1260,17039,8631
557,2023,VNY,2015,2125,857,900,0,0
558,2023,ELI,2005,3781,1151,1152,16777,6543
559,2023,AFW,1970,2620,9164,8089,366792385,0
560,2023,HTO,1952,1968,671,745,0,0
561,2023,LUK,1951,1951,90,95,9600,0
562,2023,AHN,1913,1913,45,45,0,0
563,2023,BTI,1864,2182,850,855,51971,8024
564,2023,ABL,1847,3578,966,969,14512,3829
565,2023,RNT,1838,1838,555,554,0,0
566,2023,ATK,1833,3705,966,969,15328,3024
567,2023,SMK,1831,4107,1298,1298,8095,7494
568,2023,KLG,1798,2367,1463,1461,1403,7489
569,2023,SNP,1775,1822,378,381,46587,11233
570,2023,LGU,1766,1766,16,17,0,0
571,2023,KNW,1758,2184,977,978,4728,11167
572,2023,ARC,1750,2317,754,756,14909,2630
573,2023,RSJ,1719,1767,620,632,0,0
574,2023,TAL,1703,1985,457,467,7425,2663
575,2023,WWT,1696,2614,1509,1507,19789,5601
576,2023,EWB,1676,1676,516,491,0,0
577,2023,TNK,1674,2475,1231,1230,11474,7279
578,2023,HKB,1656,1747,510,510,6724,297
579,2023,FTW,1630,1630,55,56,3842,0
580,2023,VEE,1629,2871,824,845,25117,2572
581,2023,SKK,1627,2633,1035,1036,12451,6215
582,2023,PGM,1605,2204,1480,1480,2165,0
583,2023,KAL,1584,2017,557,558,7596,2157
584,2023,LRU,1577,1577,351,350,0,0
585,2023,BTT,1571,2830,648,646,14180,4235
586,2023,SHG,1563,3317,949,949,19090,2469
587,2023,KKA,1547,3120,1081,1083,14841,8728
588,2023,KNK,1545,1545,540,539,61561,2083
589,2023,TYE,1515,1713,1018,1218,95618,2780
590,2023,WNA,1513,1538,1131,1136,1503,6519
591,2023,GLV,1505,3563,967,965,18491,2612
