Bus,busmap
11585,US0 76
11586,US0 76
11587,US0 76
11589,US0 47
11590,US0 20
11592,US0 6
11593,US0 76
11594,US0 76
11596,US0 76
11597,US0 76
11599,US0 6
1160,US0 69
11601,US0 6
11603,US0 47
11604,US0 76
11606,US0 76
11607,US0 76
11609,US0 96
11610,US0 96
11611,US0 96
11612,US0 96
11614,US0 96
11617,US0 40
11619,US0 95
1162,US0 69
11620,US0 20
11621,US0 20
11622,US0 95
11623,US0 95
11624,US0 76
11625,US0 76
11626,US0 76
11627,US0 76
11629,US0 76
1163,US0 49
11632,US0 6
11633,US0 76
11634,US0 76
11636,US0 20
11637,US0 76
11639,US0 11
11640,US0 76
11641,US0 76
11642,US0 76
11643,US0 76
11644,US0 76
11646,US0 76
11647,US0 76
1165,US0 49
11650,US0 76
11652,US0 7
11653,US0 42
11654,US0 42
11655,US0 30
11659,US0 30
11663,US0 30
11666,US0 27
11667,US0 27
11670,US0 27
11671,US0 33
11676,US0 30
11678,US0 30
1168,US0 49
11681,US0 30
11683,US0 2
11686,US0 81
11687,US0 30
11690,US0 30
11692,US0 2
11693,US0 77
11695,US0 28
11698,US0 35
117,US0 28
1170,US0 49
11700,US0 3
11703,US0 57
11704,US0 28
11705,US0 28
11706,US0 24
11707,US0 77
11709,US0 28
11710,US0 30
11712,US0 76
11717,US0 76
11720,US0 28
11722,US0 28
11723,US0 1
11724,US0 1
11725,US0 1
11726,US0 61
11727,US0 76
11728,US0 76
11729,US0 30
1173,US0 69
11731,US0 30
11732,US0 28
11735,US0 81
11736,US0 69
11739,US0 81
11742,US0 81
11744,US0 30
11745,US0 30
11746,US0 81
11748,US0 81
1175,US0 69
11750,US0 37
11752,US0 52
11753,US0 61
11754,US0 61
11755,US0 61
11756,US0 25
11758,US0 30
1176,US0 69
11760,US0 30
11761,US0 30
11762,US0 30
11764,US0 30
11767,US0 30
11768,US0 30
1177,US0 15
11770,US0 30
11773,US0 28
11774,US0 30
11775,US0 30
11776,US0 42
11778,US0 42
11779,US0 30
11782,US0 30
11783,US0 26
11785,US0 34
11786,US0 30
11787,US0 30
11788,US0 30
11789,US0 30
1179,US0 47
11791,US0 28
11792,US0 0
11795,US0 30
11796,US0 29
11798,US0 28
11799,US0 28
11802,US0 7
11803,US0 7
11804,US0 7
11805,US0 42
11806,US0 5
11808,US0 29
1181,US0 96
11810,US0 24
11811,US0 24
11812,US0 34
11813,US0 47
11814,US0 24
11817,US0 25
11818,US0 28
11819,US0 28
11820,US0 25
11821,US0 25
11823,US0 25
11825,US0 25
11828,US0 25
11829,US0 25
1183,US0 51
11830,US0 25
11831,US0 25
11834,US0 7
11836,US0 7
11838,US0 7
11839,US0 7
11842,US0 7
11845,US0 7
11848,US0 7
11850,US0 7
11854,US0 52
11855,US0 52
11856,US0 52
11859,US0 60
1186,US0 33
11862,US0 53
11863,US0 53
11865,US0 53
11867,US0 47
11868,US0 47
11870,US0 42
11871,US0 47
11872,US0 47
11874,US0 41
11876,US0 34
11877,US0 89
1188,US0 30
11880,US0 54
11881,US0 54
11882,US0 34
11884,US0 47
11886,US0 47
11888,US0 47
11889,US0 26
11891,US0 10
11892,US0 24
11893,US0 77
11894,US0 72
11895,US0 42
11896,US0 7
11899,US0 7
119,US0 28
11902,US0 7
11904,US0 42
11905,US0 47
11908,US0 7
11909,US0 7
1191,US0 83
11911,US0 7
11913,US0 23
11915,US0 57
11917,US0 27
11918,US0 7
11919,US0 7
11922,US0 57
11925,US0 35
11926,US0 1
11928,US0 84
1193,US0 83
11930,US0 29
11931,US0 84
11932,US0 84
11934,US0 84
11935,US0 47
11936,US0 34
11937,US0 34
11939,US0 57
11942,US0 57
11943,US0 57
11946,US0 57
11948,US0 57
1195,US0 57
11950,US0 33
11953,US0 57
11954,US0 57
11956,US0 10
11958,US0 10
11960,US0 25
11961,US0 25
11963,US0 25
11964,US0 25
11966,US0 25
11968,US0 25
1197,US0 2
11971,US0 25
11972,US0 57
11974,US0 57
11975,US0 57
11976,US0 25
11979,US0 25
11982,US0 7
11983,US0 42
11984,US0 34
11985,US0 30
11986,US0 16
11987,US0 30
11988,US0 30
11989,US0 30
1199,US0 2
11990,US0 16
11993,US0 16
11995,US0 50
11996,US0 16
11998,US0 35
12002,US0 35
12003,US0 34
12004,US0 72
12005,US0 34
12007,US0 34
12008,US0 34
12009,US0 34
1201,US0 28
12010,US0 34
12014,US0 72
12016,US0 34
12017,US0 34
12018,US0 34
1202,US0 47
12020,US0 34
12023,US0 34
12024,US0 34
12025,US0 34
12026,US0 34
12027,US0 34
12029,US0 34
12030,US0 34
12031,US0 34
12032,US0 34
12033,US0 0
12035,US0 0
12037,US0 0
12038,US0 34
1204,US0 51
12040,US0 0
12041,US0 0
12043,US0 34
12045,US0 72
12046,US0 72
12048,US0 33
12049,US0 33
1205,US0 51
12053,US0 30
12054,US0 34
12055,US0 34
1206,US0 83
12060,US0 28
12072,US0 27
12073,US0 27
12074,US0 27
12076,US0 34
12077,US0 27
12078,US0 27
12081,US0 27
12083,US0 34
12084,US0 34
12086,US0 34
12088,US0 34
1209,US0 57
12090,US0 34
12092,US0 34
12093,US0 34
12095,US0 10
12097,US0 34
121,US0 47
1210,US0 53
12101,US0 27
12102,US0 10
12104,US0 27
12106,US0 27
12107,US0 47
12109,US0 47
1211,US0 99
12111,US0 72
12112,US0 69
12113,US0 29
12115,US0 29
12117,US0 25
12118,US0 25
12119,US0 5
12123,US0 10
12125,US0 44
12126,US0 44
12128,US0 10
12129,US0 10
1213,US0 66
12130,US0 10
12131,US0 10
12132,US0 81
12134,US0 44
12135,US0 29
12136,US0 42
12138,US0 2
12140,US0 30
12141,US0 30
12142,US0 5
12143,US0 5
12144,US0 44
12146,US0 10
12147,US0 5
12148,US0 5
12149,US0 44
12150,US0 5
12152,US0 54
12153,US0 33
12155,US0 86
12157,US0 81
12159,US0 44
1216,US0 31
12161,US0 86
12162,US0 42
12163,US0 42
12164,US0 42
12166,US0 42
12167,US0 42
12168,US0 42
12170,US0 44
12171,US0 44
12173,US0 42
12174,US0 44
12175,US0 42
12176,US0 44
12177,US0 68
12178,US0 42
12180,US0 36
12182,US0 71
12183,US0 42
12184,US0 86
12186,US0 42
12187,US0 42
12188,US0 44
12189,US0 44
1219,US0 52
12190,US0 44
12191,US0 71
12192,US0 44
12193,US0 42
12195,US0 42
12198,US0 63
122,US0 47
12200,US0 84
12201,US0 86
12202,US0 0
12203,US0 0
12204,US0 72
12205,US0 63
12207,US0 13
12208,US0 52
12210,US0 52
12213,US0 52
12216,US0 52
12219,US0 7
1222,US0 57
12220,US0 52
12221,US0 52
12222,US0 52
12223,US0 52
12224,US0 52
